Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Lesotho,AFR,2174645,Sub-Saharan Africa,A,733974.3,579343.1,154631.2,97.14,97.14,97.14,129127,307445.2381,0.42,121661,294445.2381,0.4131871882,7466,13000,0.56,300000,39000,123956.1565,21840,2023.475108,189.0628256,908.2512457,5.409722591,27.78613013,1212.049977,397.296122,247.7830731,943.6423326,1341.53496,21.96914079,7318.260638,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,Laos,9048.129,Latin America and Caribbean,142195.7,,Mauritius,,23,,,,,,,,,,Mauritius,31 [26-36],2 537,0.31,2537,2050.704593754915,189.40313354625735,920.328545768019,4.643143583798098,28.024940972249375,1233.334803114503,404.2930589312363,243.97827027976697,959.3636978452118,1337.06095297369,22.3319441201719,7393.4670848898195
Liberia,AFR,4499621,Sub-Saharan Africa,A,116441.79,97314.25,19127.54,97.14,97.14,97.14,7391,30795.83333,0.24,7002,26895.83333,0.2603377227,389,3900,0.1,21000,4000,5467.092177,400,157.979046,4.514435488,61.81815621,0.1192914617,0.6087191559,114.8413787,41.03301578,15.20702619,66.74291821,136.4219688,2.323789963,601.6097459,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America and Caribbean,2102207,Latvia,51.56927,,Mexico,1800,1960,0.95,,,,,,,,,Mexico,59 [54-64],117 631,0.59,117631,146.17196004763906,4.469884990756126,57.47006104008132,0.10241208927439338,0.6138290573582019,105.69891390337244,37.70650950224375,14.105489195250778,62.02044403856752,122.88258675096415,2.142092176371301,553.3841827918791
Libya,EMR,6234955,Sub-Saharan Africa,A,5486.9814,4868.105,618.8764,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,,,,,10.19047164,0.04069474588,3.790840842,0.0,0.0,7.882671133,2.869876037,0.8555643667,4.162041341,9.519526024,0.1600708379,39.47175697,,,,,,,,,,,,,,,,,,,,,,,,,,,Latvia,5342.366,Lebanon,186.1628,,Micronesia (Federated States of),,,,,,,,,,,,Micronesia (Federated States of),No data,No data,,,10.19047164069046,0.04069474587775687,3.790840841545218,0.0,0.0,7.882671131975095,2.8698760360333617,0.8555643665837813,4.162041340304862,9.3375888595695,0.16007083786008428,39.289819800440114
Lithuania,EUR,2904910,Europe and Central Asia,A,3008.22704,2967.91,40.31704,63,63,97.14,566,,0,561,,0,5,,,275915.6226,370.1307133,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanon,3875.685,Lesotho,154631.2,,Monaco,,,,,,,,,,,,Monaco,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,EUR,569604,Europe and Central Asia,A,138.645097,136.2802,2.364897,97.14,97.14,97.14,700,,0,698,,0,2,,,54102.41361,72.5764085,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,579343.1,Liberia,19127.54,,Mongolia,100,0,0.01,,,,,,,,,Mongolia,36 [28-45],147,0.36,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,AFR,24234088,Sub-Saharan Africa,A,226513.31,179911.8,46601.51,80,97.14,97.14,1234,41133.33333,0.03,1218,37333.33333,0.032625,16,3800,0.01,55000,16362.29572,1794.375,163.6229572,248.3944536,7.600489432,98.10129301,0.2031747162,1.035439952,178.626559,64.17759012,24.73734785,105.6219024,212.8873367,3.76174883,945.1473355,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberia,97314.25,Libya,618.8764,,Montenegro,,2,,,,,,,,,,Montenegro,No data,92,,92,229.9898189880847,7.5250633524980675,91.21149184002368,0.1744343359202875,1.0440918560387407,164.58168119627308,58.9903510461808,22.912693271613637,98.17743661051006,191.723728318732,3.459045647861328,869.7898364637364
Malawi,AFR,17573607,Sub-Saharan Africa,A,1723555.3,1189228,534327.3,76,97.14,97.14,595186,975714.7541,0.61,543699,891714.7541,0.6097230056,51487,84000,0.61,910000,190000,554847.9351,115900,56656.19992,5958.308542,25994.62349,170.9041978,878.450638,32696.58195,10431.34688,7126.838206,26852.92081,35459.82239,558.8448895,202784.8419,,,,,,,,,,,,,,,,,,,,,,,,,,,Libya,4868.105,Lithuania,40.31704,,Morocco,500,489,0.95,,,,,,,,,Morocco,37 [31-43],8 926,0.37,8926,56757.302746143345,5966.854525853135,26103.83612503963,146.68254612979558,886.0198688033792,32766.808223625445,10436.570532240314,6946.187693001803,27048.492474362476,34763.887392834455,559.0993474992443,202381.74147553305
Malaysia,WPR,30723155,"East, South and South-East Asia",A,103087.568,101295.6,1791.968,95,95,89,25700,91785.71429,0.28,25213,91285.71429,0.276198748,487,500,0.95,76000,2595.92418791532,20991.10485,2466.127979,305.1000419,7.629667751,120.35844,0.1861983746,0.9617697829,221.6896138,79.41901362,28.50264059,130.0009724,263.9218557,4.486681232,1162.256895,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithuania,2967.91,Luxembourg,2.364897,,Mozambique,110000,64273,0.57,,,,,,,,,Mozambique,53 [43-66],802 659,0.53,802659,309.3269154654638,7.659630543665375,122.04568767674763,0.1597805420509512,0.9702016735924456,224.90937040430123,80.56048641134302,28.63667556551713,131.93089159857576,262.4623470824216,4.548494593115654,1173.2104815567948
Maldives,SEA,409163,"East, South and South-East Asia",A,52.295784,42.83203,9.463754,97.14,97.14,97.14,9,35.74198939,0.2518046743,9,35.74198939,0.2518046743,0,,,100,28.79601631435,25.18046743,0,0.06192275022,0.0002515555262,0.02313055379,0.0,0.0,0.04773292705,0.01744488207,0.00527516462,0.02537029989,0.05778185341,0.0009892407314,0.2398992273,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,136.2802,Macedonia,3.031832,,Myanmar,9500,7086,0.75,,,,,,,,,Myanmar,47 [42-55],106 490,0.47,106490,0.061922750211033356,0.00025155552610949764,0.023130553785439382,0.0,0.0,0.04773292704508113,0.01744488206540478,0.005275164619049805,0.02537029988111871,0.05665768766312981,0.0009892407311884992,0.23877506152755498
Mali,AFR,17467905,Sub-Saharan Africa,A,386669.7,280360.6,106309.1,97.14,97.14,97.14,34974,124907.1429,0.28,32309,112907.1429,0.2861555007,2665,12000,0.23,86000,11793.92545,24609.37306,2712.602853,624.6184306,52.48142951,271.1621403,1.525658686,7.799474587,390.1065,130.4704046,75.45674433,283.4841222,438.6915663,7.359429085,2283.1559,,,,,,,,,,,,,,,,,,,,,,,,,,,Macedonia,116.3868,Madagascar,46601.51,,Namibia,10000,10010,0.95,,,,,,,,,Namibia,69 [63-74],144 496,0.69,144496,614.4401977041059,52.47526255058497,267.76503860586075,1.309693551224385,7.86538564000428,382.46379720190595,127.53944068016234,72.97732441364566,280.46895683355734,420.0766664867354,7.200955234811397,2234.5827189025986
Malta,EUR,431874,Europe and Central Asia,A,93.870111,91.83197,2.038141,97.14,97.14,97.14,,,0,,,0,,,,574.8121962,0.7710895315,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,179911.8,Malawi,534327.3,,Nauru,,,,,,,,,,,,Nauru,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,WPR,52994,Oceania,A,170.99646,145.303,25.69346,88,88,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,1.296460893,0.005172777516,0.4821785325,0.0,0.0,1.003033706,0.3651061677,0.1087662777,0.5294199537,1.211169637,0.02034712264,5.021655068,,,,,,,,,,,,,,,,,,,,,,,,,,,Malawi,1189228,Malaysia,1791.968,,Nepal,1600,893,0.58,,,,,,,,,Nepal,31 [27-36],11 922,0.31,11922,1.2964608926152807,0.005172777515843494,0.4821785324970784,0.0,0.0,1.003033706252629,0.3651061676809936,0.10876627770972255,0.529419953688508,1.1880427984001445,0.020347122645414654,4.998528229005615
Mauritania,AFR,4182341,Sub-Saharan Africa,A,18990.257,14965.87,4024.387,74,73,80,2458,13655.55556,0.18,2301,12355.55556,0.1862320144,157,1300,0.13,9500,477162.938,1769.204137,62031.18195,174.7792268,10.3670891,72.52631681,0.296653062,1.514400963,117.0528014,40.56364975,19.37673313,76.84619161,135.4806061,2.323417471,651.1270862,,,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,101295.6,Maldives,9.463754,,Netherlands,,,,,,,,,,,,Netherlands,High-income country,No data,,,169.8506408050001,10.351945435042298,70.75163888374219,0.2546735733885258,1.5271332229444607,113.30921342085556,39.16820338282201,18.64402864632793,75.03998943612837,128.1685215818419,2.245615258914675,629.3116036470079
Mauritius,AFR,1262605,Sub-Saharan Africa,A,3872.0935,3714.38,157.7135,97.14,97.14,97.14,2537,8183.870968,0.31,2514,8183.870968,0.307189594,23,,,10000,144050.4998,3071.89594,0,6.609798319,0.02661514165,2.463784536,0.0,0.0,5.104314146,1.861812905,0.5588669867,2.703752946,6.171307193,0.1046771448,25.60492932,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldives,42.83203,Mali,106309.1,,New Zealand,,,,,,,,,,,,New Zealand,High-income country,No data,,,6.673313754947418,0.026858745751466104,2.4871882307857507,0.0,0.0,5.1538363293830765,1.8796863937350028,0.5640203094876617,2.7295075935063204,6.1107347079032035,0.10563591630536166,25.730781981805258
Mexico,AMR,125890949,Latin America and the Caribbean,B,258597.16,244776.9,13820.26,85,85,81,117631,199374.5763,0.59,115671,197574.5763,0.5854548808,1960,1800,0.95,170000,9621.427064,99527.32974,9140.355711,5098.529187,167.67032,2031.454203,4.308073496,22.25247626,3653.454819,1283.285014,476.3764697,2186.680866,4290.584645,69.02368977,19283.61976,,,,,,,,,,,,,,,,,,,,,,,,,,,Mali,280360.6,Malta,2.038141,,Nicaragua,200,122,0.69,,,,,,,,,Nicaragua,34 [26-49],3 350,0.34,3350,5125.197119182128,170.2828538335885,2029.902084266624,4.308073495802166,22.252476259614227,3617.6188592970757,1278.84227221529,541.5210576386934,2167.5703927661493,4233.808298774971,81.0507260827741,19272.35421381271
Micronesia (Federated States of),WPR,104433,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,91.83197,Marshall Islands,25.69346,,Niger,5900,922,0.16,,,,,,,,,Niger,26 [23-30],12 887,0.26,12887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,EUR,38307,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,145.303,Mauritania,4024.387,,Nigeria,,43655,,,,,,,,,,Nigeria,No data,828 867,,828867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,WPR,2976877,"East, South and South-East Asia",A,160.285481,152.2821,8.003381,95,95,97.14,147,408.3333333,0.36,147,308.3333333,0.4767567568,0,100,0.01,1454.45533989413,83.24249588,693.4214107,0.8324249588,0.7571072849,0.003246598214,0.2804819471,8.7233475e-06,4.44568236e-05,0.5874673118,0.2128520393,0.06264268482,0.3082053353,0.707360712,0.01165152802,2.931068622,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritania,14965.87,Mauritius,157.7135,,Niue,,,,,,,,,,,,Niue,No data,No data,,,0.5608982776139764,0.0025210599289429416,0.20884184152524998,7.489373465860046e-06,4.482829484964753e-05,0.4333976413613903,0.15771129110794854,0.04720185380509746,0.22922227477876497,0.5131855189678546,0.00879426854024671,2.1618263452977877
Montenegro,EUR,622159,Europe and Central Asia,A,61.82467,60.08948,1.73519,94,93,97.14,92,,0,90,,0,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,3714.38,Mexico,13820.26,,Norway,,,,,,,,,,,,Norway,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,AMR,5012,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,244776.9,Moldova,69.81706,,Oman,,31,,,,,,,,,,Oman,High-income country,1 098,,1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,EMR,34803322,Middle East and North Africa,A,17375.661,16281.27,1094.391,82,97.14,97.14,8926,24124.32432,0.37,8437,23624.32432,0.3571319071,489,500,0.95,25000,1777.051917,8928.297678,1688.199322,264.677001,15.11991263,112.8092048,0.4093743702,2.114539936,174.5439847,60.19092333,27.98262659,119.3370975,201.3737305,3.357864452,981.9162598,,,,,,,,,,,,,,,,,,,,,,,,,,,Moldova,9913.847,Mongolia,8.003381,,Pakistan,2500,131,0.05,,,,,,,,,Pakistan,6 [5-10],6 564,0.06,6564,273.22469075049895,15.182029402749864,116.22272713113983,0.3512923187827335,2.1330782286024284,181.07769938554475,62.48870566478485,28.20059181930379,123.25955670165109,204.8910662535049,3.4790208725223413,1010.5104585290856
Mozambique,AFR,28010691,Sub-Saharan Africa,A,4241733,2769133,1472600,66,66,64,802659,1514450.943,0.53,738386,1404450.943,0.5257470925,64273,110000,0.57,1300000,170000,683471.2202,96900,174711.666,21562.33088,82863.26482,623.4167582,3202.534516,94559.13301,29259.12098,23538.03172,84823.092,99916.37334,1589.081004,616648.045,,,,,,,,,,,,,,,,,,,,,,,,,,,Mongolia,152.2821,Montenegro,1.73519,,Palau,,,,,,,,,,,,Palau,No data,No data,,,175904.3967874639,21594.66472113444,83544.97139469243,535.0733362311631,3230.0730949253257,95485.48177614012,29516.543172540387,22943.721432085473,85852.00863001014,98675.12596857458,1601.9608842383138,618884.0211980363
Myanmar,SEA,52403669,"East, South and South-East Asia",A,393499.72,382019.7,11480.02,85,85,90,106490,226574.4681,0.47,99404,217074.4681,0.4579258025,7086,9500,0.75,200000,4630.83961722745,91585.1605,3473.129713,5782.986053,118.4162592,2232.46221,2.823091125,14.53999642,4291.7957,1533.900014,519.677979,2423.632421,5107.555767,84.2187594,22112.00825,,,,,,,,,,,,,,,,,,,,,,,,,,,Montenegro,60.08948,Morocco,1094.391,,"Palestine, State of",,,,,,,,,,,,Panama,60 [55-65],10 227,0.6,10227,5939.878559460958,119.1515972802304,2290.986013340618,2.422805975543905,14.666178785819207,4414.86737720689,1577.4538834478737,528.7122981274711,2489.402504144777,5153.701439743562,86.44325512996183,22617.685912643705
Namibia,AFR,2425561,Sub-Saharan Africa,A,297031.57,240660.4,56371.17,85,85,87,144496,209414.4928,0.69,134486,199414.4928,0.6744043431,10010,10000,0.95,190000,19000,128136.8252,18050,7435.697664,632.2347537,3355.426982,17.57211105,90.76516087,4500.157258,1475.317363,851.6514448,3496.18708,4994.039502,78.19938056,26927.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,Morocco,16281.27,Mozambique,1472600,,Panama,200,162,0.92,,,,,,,,,Papua New Guinea,53 [48-58],21 198,0.53,21198,7588.251188419291,634.0399146293331,3421.8925429441806,15.07897925405976,91.56090422881032,4615.155464428312,1513.4387196733262,842.8942041533898,3576.6541794785694,5023.667873653553,80.01240086680157,27402.64637172963
Nauru,WPR,12475,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,2769133,Myanmar,11480.02,,Papua New Guinea,3300,1170,0.36,,,,,,,,,Paraguay,31 [22-49],5 499,0.31,5499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,SEA,28656282,"East, South and South-East Asia",A,90026.449,83510.78,6515.669,97.14,97.14,97.14,11922,38458.06452,0.31,11029,36858.06452,0.2992289515,893,1600,0.58,51000,2737.73081220475,15260.67653,1587.883871,171.4180882,8.601728018,70.79327177,0.2361070959,1.213072285,116.7953011,40.7230097,17.92559698,75.33175549,135.9562114,2.292410147,641.2865522,,,,,,,,,,,,,,,,,,,,,,,,,,,Myanmar,382019.7,Namibia,56371.17,,Paraguay,500,175,0.58,,,,,,,,,Peru,56 [48-67],37 201,0.56,37201,176.99052053358847,8.633902940383987,72.9426702624878,0.20264766090463202,1.2235088147011852,121.13199669825907,42.261178688286385,18.11801857203458,77.80172186904073,138.26813637020834,2.375022955829902,659.9493253657251
Netherlands,EUR,16939923,Europe and Central Asia,A,3232.7088,3127.204,105.5048,97.14,97.14,97.14,,,0,,,0,,,,22546.56299,30.24538937,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Namibia,240660.4,Nepal,6515.669,,Peru,1100,888,0.84,,,,,,,,,Philippines,27 [19-80],12 533,0.27,12533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,WPR,273000,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepal,83510.78,Netherlands,105.5048,,Philippines,500,41,0.1,,,,,,,,,Poland,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,WPR,4595700,,A,628.40143,607.3335,21.06793,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,13129.39253,,4775.374545,,1.291507296,0.005153013054,0.4803361956,0.0,0.0,0.9992012543,0.3637111479,0.1083506969,0.5273971139,1.206541927,0.02026937913,5.002468024,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,3127.204,New Zealand,21.06793,,Poland,,,,,,,,,,,,Portugal,High-income country,No data,,,1.2915072963405003,0.0051530130543169595,0.4803361955658514,0.0,0.0,0.9992012543375165,0.36371114792958736,0.10835069693042287,0.5273971138748863,1.1835034525440862,0.02026937912726232,4.979429549704429
Nicaragua,AMR,6082035,Latin America and the Caribbean,B,9753.1584,9524.273,228.8854,79,78,97.14,3350,9852.941176,0.34,3228,9652.941176,0.3344058501,122,200,0.69,6800,464.8297325,2273.959781,320.7325155,144.5261236,3.025833889,56.04175278,0.07248023155,0.3729783642,106.7787776,38.32537662,13.21759793,60.77207289,127.387529,2.14566534,552.6661883,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,607.3335,Nicaragua,228.8854,,Portugal,,,,,,,,,,,,Qatar,High-income country,No data,,,146.7488976269767,3.119012721811184,56.514983424322836,0.07248023155256102,0.3729783642491883,106.75938710934024,38.57554338598878,15.343438034816346,60.742659634918056,126.8918004205012,2.5415698631246917,557.6827508176018
Niger,AFR,19896965,Sub-Saharan Africa,A,195978.98,135371.9,60607.08,67,67,71,12887,49565.38462,0.26,11965,43665.38462,0.2740156787,922,5900,0.16,41000,13433.97058,11234.64283,2149.435293,3195.15594,240.4525233,1362.004821,6.979718008,35.64630425,2051.180976,694.7204863,374.4828529,1430.981479,2330.759336,39.26063087,11761.62507,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicaragua,9524.273,Niger,60607.08,,Qatar,,,,,,,,,,,,Republic of Korea,High-income country,No data,,,3064.48828436255,240.06472468922553,1315.1646138893977,5.9919213234440925,35.94646085883167,1951.0891827785854,657.7283070417948,356.2455101212645,1382.8075494610857,2162.3437617956924,37.25053920482344,11209.120855526695
Nigeria,AFR,181181744,Sub-Saharan Africa,A,7887547,5694592,2192955,97.14,97.14,97.14,828867,2312992.895,0.3583525923,785212,2312992.895,0.3394787773,43655,,,3000000,420000,1018436.332,0,11257.84496,45.09530483,4191.03417,0.0,0.0,8702.904057,3170.698127,947.6507347,4600.61572,10514.54111,177.3725727,43607.75675,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger,135371.9,Nigeria,2192955,,Republic of Korea,,,,,,,,,,,,Republic of Moldova,21 [18-25],3 850,0.21,3850,11920.568328189873,47.603733756257775,4434.434329073976,0.0,0.0,9220.958867316198,3357.1118773706175,1000.8185931554616,4868.655733631329,10922.886589133472,187.2470114575041,45960.28506308469
Niue,WPR,,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria,5694592,North Africa and Middle East,69061.61,,Republic of Moldova,200,106,0.75,,,,,,,,,Romania,No data,10 551,,10551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Mariana Islands,WPR,54816,,A,69.205369,66.76201,2.443359,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.1419708003,0.0005664523842,0.05280164834,0.0,0.0,0.1098386375,0.03998147195,0.01191060647,0.05797488759,0.1326308596,0.002228140703,0.5499035048,,,,,,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,347521.2,North East England,9.945647,,Romania,,243,,,,,,,,,,Russian Federation,No data,No data,,,0.14197080028247647,0.0005664523841718587,0.05280164833938739,0.0,0.0,0.10983863747692793,0.03998147195105588,0.011910606465765288,0.05797488758727502,0.13009832214719394,0.0022281407035641514,0.547370967337818
Norway,EUR,5188607,Europe and Central Asia,A,699.33402,678.3519,20.98212,97.14,97.14,97.14,,,0,,,0,,,,6905.890572,9.263999548,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,347521.2,North Korea,1909.911,,Russian Federation,,,,,,,,,,,,Rwanda,79 [70-87],158 728,0.79,158728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oman,EMR,4199810,Middle East and North Africa,A,3404.10173,3332.475,71.62673,66,66,67,1098,,0,1067,,0,31,,,3959.373153,214.4416103,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North East England,253.3948,North West England,52.28177,,Rwanda,11000,8266,0.74,,,,,,,,,Saint Kitts and Nevis,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,EMR,189380513,"East, South and South-East Asia",A,78120.91,67978.19,10142.72,97.14,97.14,97.14,6564,109400,0.06,6433,106900,0.0601777362,131,2500,0.05,58000,15614.0437505772,3490.3087,780.7021875,26.03032728,1.132068278,10.5166319,0.03162236739,0.1612482282,18.13231232,6.422982418,2.735208419,11.23816297,21.358864,0.3749432745,98.13437145,,,,,,,,,,,,,,,,,,,,,,,,,,,North Korea,26687.75,Northern Ireland,6.412672,,Saint Kitts and Nevis,,,,,,,,,,,,Saint Lucia,No data,No data,,,25.96354213774535,1.1321145229405878,10.496994959754213,0.027148610586285617,0.16259835580707732,18.08947124768471,6.403838305099859,2.6955390085814415,11.231987153912277,20.856780474343825,0.37383562475767473,97.43385040121329
Palau,WPR,21288,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North West England,955.9782,Northern Mariana Islands,2.443359,,Saint Lucia,,,,,,,,,,,,Saint Vincent and the Grenadines,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,AMR,3969249,Latin America and the Caribbean,B,23247.4203,23000.54,246.8803,97.14,97.14,97.14,10227,17045,0.6,10065,16845,0.5975066785,162,200,0.92,16000,303.3565165,9560.106857,279.0879952,85.35176968,0.8147945513,31.92817627,0.01420836026,0.07335848643,65.5112959,23.51200229,7.12932548,34.97327945,78.3561765,1.262145399,328.9265324,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Ireland,407.9586,Norway,20.98212,,Saint Vincent and the Grenadines,,,,,,,,,,,,Samoa,No data,No data,,,85.5303723245002,0.8677983891887141,31.80473361785611,0.014208360263921891,0.07335848642837353,64.59443222072349,23.338193734763827,8.298923726039247,34.51069898025249,77.00961732043194,1.4767853958067034,327.51912255625507
Papua New Guinea,WPR,7919825,Oceania,A,43382.944,39671.85,3711.094,90,97.14,97.14,21198,39996.22642,0.53,20028,36696.22642,0.5457781891,1170,3300,0.36,23000,3200,12552.89835,1152,488.0574789,11.52414897,187.9681507,0.2916127555,1.493543287,361.5831784,128.4103185,44.26400007,203.9210501,428.4318557,6.951483027,1862.89682,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Mariana Islands,66.76201,Oceania,4484.073,,Samoa,,,,,,,,,,,,San Marino,High-income country,No data,,,473.7360835300814,11.482188864230832,182.87913395151108,0.25031635474729896,1.506249121193322,350.281798740109,124.37274360088482,42.85967002437829,198.43347572961503,407.0794992102646,6.750122097609799,1799.6312812246258
